run_id,timestamp_utc,antenna_family,patch_shape,feed_type,polarization,substrate_name,conductor_name,target_frequency_ghz,target_bandwidth_mhz,target_minimum_gain_dbi,target_maximum_vswr,target_minimum_return_loss_db,substrate_epsilon_r,substrate_height_mm,patch_length_mm,patch_width_mm,patch_height_mm,substrate_length_mm,substrate_width_mm,feed_length_mm,feed_width_mm,feed_offset_x_mm,feed_offset_y_mm,actual_center_frequency_ghz,actual_bandwidth_mhz,actual_return_loss_db,actual_vswr,actual_gain_dbi,actual_radiation_efficiency_pct,actual_total_efficiency_pct,actual_directivity_dbi,actual_peak_theta_deg,actual_peak_phi_deg,actual_front_to_back_db,actual_axial_ratio_db,accepted,solver_status,simulation_time_sec,notes,farfield_artifact_path,s11_artifact_path,rejection_reason
a7340f7a-e6ee-4b48-a51f-5a59185f3620-design_a7340f7a-e6ee-4b48-a51f-5a59185f3620-iter0,2026-04-09T18:25:16.108842+00:00,microstrip_patch,rectangular,edge,linear,Rogers RT/duroid 5880,Copper (annealed),2.4,70.0,0.0,2.0,-10.0,2.2,2.4,40.45500183105469,49.81890487670898,0.035,55.219403897690746,63.77640586564412,15.511373481122485,2.935874462127685,0.0,-11.470550537109377,2.38,0.0,-9.590719822678984,1.99,6.8,84.9692333946781,84.9692333946781,6.8,0.0,0.0,14.8928736471798,30.0,False,completed,0.0,User submitted CST feedback from the QML UI.,E:\antenna_client\artifacts\exports\a7340f7a-e6ee-4b_iter0_design_a7340f7a-e6ee_farfield_metrics.json,E:\antenna_client\artifacts\exports\a7340f7a-e6ee-4b_iter0_design_a7340f7a-e6ee_s11.txt,invalid_rect_patch_feedback_row
a7340f7a-e6ee-4b48-a51f-5a59185f3620-design_a7340f7a-e6ee-4b48-a51f-5a59185f3620-iter2,2026-04-09T18:26:35.338140+00:00,microstrip_patch,rectangular,edge,linear,Rogers RT/duroid 5880,Copper (annealed),2.4,70.0,0.0,2.0,-10.0,2.2,2.4,40.43881983032227,49.81890487670898,0.035,55.219403897690746,63.77640586564412,15.511373481122485,2.935874462127685,0.0,-11.470550537109377,2.39,0.0,-9.62821973226296,1.99,6.8,85.09951794781144,85.09951794781144,6.8,0.0,0.0,0.0,30.0,False,completed,0.0,User submitted CST feedback from the QML UI.,E:\antenna_client\artifacts\exports\a7340f7a-e6ee-4b_iter2_design_a7340f7a-e6ee_farfield_metrics.json,E:\antenna_client\artifacts\exports\a7340f7a-e6ee-4b_iter2_design_a7340f7a-e6ee_s11.txt,invalid_rect_patch_feedback_row
a7340f7a-e6ee-4b48-a51f-5a59185f3620-design_a7340f7a-e6ee-4b48-a51f-5a59185f3620-iter3,2026-04-09T18:27:32.442630+00:00,microstrip_patch,rectangular,edge,linear,Rogers RT/duroid 5880,Copper (annealed),2.4,70.0,0.0,2.0,-10.0,2.2,2.52,40.43881983032227,49.81890487670898,0.035,55.219403897690746,63.77640586564412,15.511373481122485,3.08266818523407,0.0,-11.470550537109377,2.38,0.0,-9.8722808726874,1.95,6.81,85.11492092369102,85.11492092369102,6.81,0.0,0.0,0.0,30.0,False,completed,0.0,User marked this design done from the QML UI.,E:\antenna_client\artifacts\exports\a7340f7a-e6ee-4b_iter3_design_a7340f7a-e6ee_farfield_metrics.json,E:\antenna_client\artifacts\exports\a7340f7a-e6ee-4b_iter3_design_a7340f7a-e6ee_s11.txt,invalid_rect_patch_feedback_row
76139090-5077-4a82-bc4a-934c87a60e9f-design_76139090-5077-4a82-bc4a-934c87a60e9f-iter0,2026-04-11T18:05:04.111013+00:00,microstrip_patch,rectangular,edge,linear,Rogers RT/duroid 5880,Copper (annealed),2.2828,87.54,3.2,2.046,-9.598,2.2,2.4,42.7168197631836,52.94593048095703,0.035,57.39518305978856,66.80067828028157,16.338169562719653,3.139731168746948,0.0,-12.359537124633787,2.2628,0.0,-9.155,2.0701,6.513,0.0,0.0,6.513,0.0,0.0,0.0,30.0,False,completed,0.0,Autotrain single-cycle run.,E:\antenna_client\artifacts\exports\76139090-5077-4a_iter0_design_76139090-5077_farfield_metrics.json,E:\antenna_client\artifacts\exports\76139090-5077-4a_iter0_design_76139090-5077_s11.txt,invalid_rect_patch_feedback_row
fe8fa770-76a8-4c28-9bdb-1f653a6dcf89-design_fe8fa770-76a8-4c28-9bdb-1f653a6dcf89-iter0,2026-04-11T18:06:45.796703+00:00,microstrip_patch,rectangular,edge,linear,Rogers RT/duroid 5880,Copper (annealed),2.3775,136.55,1.8,2.068,-15.782,2.2,2.4,41.18914031982422,52.197242736816406,0.035,55.620541714565306,67.76701633339745,15.663805851534818,3.1607723236083984,0.0,-12.602876663208008,2.3415,0.0,-9.39,2.0267,6.389,0.0,0.0,6.389,0.0,0.0,0.0,30.0,False,completed,0.0,Autotrain single-cycle run.,E:\antenna_client\artifacts\exports\fe8fa770-76a8-4c_iter0_design_fe8fa770-76a8_farfield_metrics.json,E:\antenna_client\artifacts\exports\fe8fa770-76a8-4c_iter0_design_fe8fa770-76a8_s11.txt,invalid_rect_patch_feedback_row
8a0afe78-a15e-4ad3-bc24-4c7bf252a76a-design_8a0afe78-a15e-4ad3-bc24-4c7bf252a76a-iter0,2026-04-11T19:05:33.758280+00:00,microstrip_patch,rectangular,edge,linear,Rogers RT/duroid 5880,Copper (annealed),2.0811,182.94,3.377,2.075,-8.635,2.2,2.4,47.03805541992188,61.12950134277344,0.035,61.71091983320175,78.66975913554086,17.978149536616666,3.749556064605713,0.0,-15.207855224609377,2.0541,0.0,-7.646,2.4168,6.148,0.0,0.0,6.148,0.0,0.0,0.0,30.0,False,completed,0.0,Autotrain single-cycle run.,E:\antenna_client\artifacts\exports\8a0afe78-a15e-4a_iter0_design_8a0afe78-a15e_farfield_metrics.json,E:\antenna_client\artifacts\exports\8a0afe78-a15e-4a_iter0_design_8a0afe78-a15e_s11.txt,invalid_rect_patch_feedback_row
