run_id,timestamp_utc,antenna_family,patch_shape,feed_type,polarization,substrate_name,conductor_name,target_frequency_ghz,target_bandwidth_mhz,target_minimum_gain_dbi,target_maximum_vswr,target_minimum_return_loss_db,substrate_epsilon_r,substrate_height_mm,patch_length_mm,patch_width_mm,patch_height_mm,substrate_length_mm,substrate_width_mm,feed_length_mm,feed_width_mm,feed_offset_x_mm,feed_offset_y_mm,actual_center_frequency_ghz,actual_bandwidth_mhz,actual_return_loss_db,actual_vswr,actual_gain_dbi,actual_radiation_efficiency_pct,actual_total_efficiency_pct,actual_directivity_dbi,actual_peak_theta_deg,actual_peak_phi_deg,actual_front_to_back_db,actual_axial_ratio_db,accepted,solver_status,simulation_time_sec,notes,farfield_artifact_path,s11_artifact_path
399b1fdd-5a2f-4c8d-b732-8ebbdfc62e08-design_399b1fdd-5a2f-4c8d-b732-8ebbdfc62e08-iter0,2026-04-09T12:15:25.504629+00:00,microstrip_patch,rectangular,edge,linear,Rogers RT/duroid 5880,Copper (annealed),2.45,100.0,0.0,2.0,-10.0,2.2,2.4,39.74038696289063,49.52958679199219,0.035,54.354251342540735,63.97794221611613,15.18261551016548,2.961895227432251,0.0,-11.660110473632812,2.768,14.0,-12.174,1.6533,-14.805,0.0,0.0,-14.805,0.0,0.0,0.0,30.0,False,completed,0.0,One-pass CST-backed pipeline validation run.,E:\antenna_client\artifacts\exports\399b1fdd-5a2f-4c_iter0_design_399b1fdd-5a2f_farfield_metrics.json,E:\antenna_client\artifacts\exports\399b1fdd-5a2f-4c_iter0_design_399b1fdd-5a2f_s11.txt
fa085764-3ad4-4d0e-ac0c-657859a40988-design_fa085764-3ad4-4d0e-ac0c-657859a40988-iter0,2026-04-09T13:04:02.825356+00:00,microstrip_patch,rectangular,edge,linear,Rogers RT/duroid 5880,Copper (annealed),2.45,100.0,0.0,2.0,-10.0,2.2,2.4,39.74038696289063,49.52958679199219,0.035,54.354251342540735,63.97794221611613,15.18261551016548,2.961895227432251,0.0,-11.660110473632812,2.768,14.0,-12.174,1.6533,-14.805,0.0,0.0,-14.805,0.0,0.0,0.0,30.0,False,completed,0.0,One-pass CST-backed pipeline validation run.,E:\antenna_client\artifacts\exports\fa085764-3ad4-4d_iter0_design_fa085764-3ad4_farfield_metrics.json,E:\antenna_client\artifacts\exports\fa085764-3ad4-4d_iter0_design_fa085764-3ad4_s11.txt
d0cc136e-f1ed-4987-ad3c-8481fdbaebbe-design_d0cc136e-f1ed-4987-ad3c-8481fdbaebbe-iter0,2026-04-09T13:48:10.929976+00:00,microstrip_patch,rectangular,edge,linear,Rogers RT/duroid 5880,Copper (annealed),2.45,100.0,0.0,2.0,-10.0,2.2,2.4,39.74038696289063,49.52958679199219,0.035,54.354251342540735,63.97794221611613,15.18261551016548,2.961895227432251,0.0,-11.660110473632812,2.44,98.5,-18.2,1.48,4.6,0.0,0.0,4.6,0.0,0.0,0.0,30.0,False,completed,0.0,Iteration 0: CST simulation completed successfully.,,artifacts/s11_iter0.json
a7340f7a-e6ee-4b48-a51f-5a59185f3620-design_a7340f7a-e6ee-4b48-a51f-5a59185f3620-iter1,2026-04-09T18:25:59.737642+00:00,microstrip_patch,rectangular,edge,linear,Rogers RT/duroid 5880,Copper (annealed),2.4,70.0,0.0,2.0,-10.0,2.2,2.4,39.64590179443359,49.81890487670898,0.035,55.219403897690746,63.77640586564412,15.511373481122485,2.935874462127685,0.0,-11.470550537109377,2.43,28.0,-10.70188916982734,1.82,6.74,84.63236945481553,84.63236945481553,6.74,0.0,0.0,0.0,30.0,False,completed,0.0,User submitted CST feedback from the QML UI.,E:\antenna_client\artifacts\exports\a7340f7a-e6ee-4b_iter1_design_a7340f7a-e6ee_farfield_metrics.json,E:\antenna_client\artifacts\exports\a7340f7a-e6ee-4b_iter1_design_a7340f7a-e6ee_s11.txt
adce323c-86b3-489a-96c2-1adc1a98349c-design_adce323c-86b3-489a-96c2-1adc1a98349c-iter0,2026-04-09T22:46:10.903286+00:00,microstrip_patch,rectangular,edge,linear,Rogers RT/duroid 5880,Silver,3.0,90.0,0.0,2.0,-10.0,2.2,2.4,31.995737075805664,39.7492561340332,0.035,46.73316781608277,54.39488875117173,12.286603770111451,2.3837599754333496,0.0,-9.24413776397705,2.98,79.0,-15.862645434705708,1.38,7.21,90.92736379111857,90.92736379111857,7.21,0.0,0.0,16.5480831163201,30.0,False,completed,0.0,User marked this design done from the QML UI.,E:\antenna_client\artifacts\exports\adce323c-86b3-48_iter0_design_adce323c-86b3_farfield_metrics.json,E:\antenna_client\artifacts\exports\adce323c-86b3-48_iter0_design_adce323c-86b3_s11.txt
